interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-06-03 03:22:00 UTC,#KevinDurant,0.0772,0.518,0.8519,3
2019-06-03 02:48:00 UTC,#StephCurry,-0.4939,-0.494,-0.4939,1
2019-06-03 03:02:00 UTC,#KevinDurant,-0.4926,-0.493,-0.4926,1
2019-06-03 02:52:00 UTC,Jeremy Lin,-0.5267,-0.527,-0.5267,1
2019-06-03 02:40:00 UTC,#StephCurry,0.4926,0.493,0.4926,1
2019-06-03 03:32:00 UTC,Jodie Meeks,0.4215,0.421,0.4215,1
2019-06-03 03:17:00 UTC,Jeremy Lin,0.1027,0.103,0.1027,1
2019-06-03 02:47:00 UTC,Serge Ibaka,0.4878,0.488,0.4878,1
2019-06-03 03:26:00 UTC,Jeremy Lin,0.34,0.34,0.34,1
2019-06-03 02:27:00 UTC,Alfonzo McKinnie,0.7573,0.757,0.7573,1
2019-06-03 03:12:00 UTC,#Player,0.9001,0.9,0.9001,1
2019-06-03 02:57:00 UTC,Serge Ibaka,-0.5574,-0.557,-0.5574,1
2019-06-03 02:57:00 UTC,Jeremy Lin,-0.296,-0.174,-0.0516,2
2019-06-03 03:32:00 UTC,#Player,0.9201,0.92,0.9201,1
2019-06-03 02:54:00 UTC,Jeremy Lin,0.7269,0.727,0.7269,1
2019-06-03 03:00:00 UTC,#StephCurry,-0.4912,-0.491,-0.4912,1
2019-06-03 02:56:00 UTC,#Hoops,0.6239,0.624,0.6239,1
2019-06-03 02:56:00 UTC,#StephCurry,0.6884,0.688,0.6884,1
2019-06-03 03:32:00 UTC,#KevinDurant,-0.3222,0.234,0.7906,2
2019-06-03 03:03:00 UTC,#StephCurry,0.5859,0.586,0.5859,1
2019-06-03 03:06:00 UTC,#KevinDurant,-0.6209,-0.621,-0.6209,1
2019-06-03 03:01:00 UTC,#StephCurry,0.6884,0.688,0.6884,1
2019-06-03 03:15:00 UTC,Jonas Jerebko,0.7351,0.735,0.7351,1
